,Signal
2016-10-14 11:12:54.750,0.0
2016-10-14 11:12:55.000,0.0
2016-10-14 11:12:55.250,0.0
2016-10-14 11:12:55.500,0.0
2016-10-14 11:12:55.750,0.0
2016-10-14 11:12:56.000,0.0
2016-10-14 11:12:56.250,0.0
2016-10-14 11:12:56.500,0.0
2016-10-14 11:12:56.750,1.0
2016-10-14 11:12:57.000,1.0
2016-10-14 11:12:57.250,1.0
2016-10-14 11:12:57.500,1.0
2016-10-14 11:12:57.750,0.0
2016-10-14 11:12:58.000,0.0
2016-10-14 11:12:58.250,0.0
2016-10-14 11:12:58.500,1.0
2016-10-14 11:12:58.750,1.0
2016-10-14 11:12:59.000,1.0
2016-10-14 11:12:59.250,1.0
2016-10-14 11:12:59.500,1.0
2016-10-14 11:12:59.750,1.0
2016-10-14 11:13:00.000,1.0
2016-10-14 11:13:00.250,1.0
2016-10-14 11:13:00.500,1.0
2016-10-14 11:13:00.750,1.0
2016-10-14 11:13:01.000,1.0
2016-10-14 11:13:01.250,1.0
2016-10-14 11:13:01.500,1.0
2016-10-14 11:13:01.750,0.0
2016-10-14 11:13:02.000,0.0
2016-10-14 11:13:02.250,0.0
2016-10-14 11:13:02.500,0.0
2016-10-14 11:13:02.750,0.0
2016-10-14 11:13:03.000,0.0
2016-10-14 11:13:03.250,0.0
2016-10-14 11:13:03.500,0.0
2016-10-14 11:13:03.750,0.0
2016-10-14 11:13:04.000,0.0
2016-10-14 11:13:04.250,0.0
2016-10-14 11:13:04.500,0.0
2016-10-14 11:13:04.750,1.0
2016-10-14 11:13:05.000,1.0
2016-10-14 11:13:05.250,0.0
2016-10-14 11:13:05.500,0.0
2016-10-14 11:13:05.750,0.0
2016-10-14 11:13:06.000,0.0
2016-10-14 11:13:06.250,0.0
2016-10-14 11:13:06.500,0.0
2016-10-14 11:13:06.750,0.0
2016-10-14 11:13:07.000,0.0
2016-10-14 11:13:07.250,1.0
2016-10-14 11:13:07.500,1.0
2016-10-14 11:13:07.750,0.0
2016-10-14 11:13:08.000,0.0
2016-10-14 11:13:08.250,0.0
2016-10-14 11:13:08.500,1.0
2016-10-14 11:13:08.750,1.0
2016-10-14 11:13:09.000,1.0
2016-10-14 11:13:09.250,1.0
2016-10-14 11:13:09.500,0.0
2016-10-14 11:13:09.750,0.0
2016-10-14 11:13:10.000,0.0
2016-10-14 11:13:10.250,0.0
2016-10-14 11:13:10.500,0.0
2016-10-14 11:13:10.750,0.0
2016-10-14 11:13:11.000,0.0
2016-10-14 11:13:11.250,0.0
2016-10-14 11:13:11.500,0.0
2016-10-14 11:13:11.750,0.0
2016-10-14 11:13:12.000,0.0
2016-10-14 11:13:12.250,0.0
2016-10-14 11:13:12.500,0.0
2016-10-14 11:13:12.750,0.0
2016-10-14 11:13:13.000,0.0
2016-10-14 11:13:13.250,0.0
2016-10-14 11:13:13.500,0.0
2016-10-14 11:13:13.750,0.0
